model,dataset,latent_dim,max_f1_threshold,runtime,max_f1_recall,avg_memory,max_f1_score,time_per_instance,memory_usage,ROC-AUC,score,PR-AUC,max_f1_precision,lr,max_f1_threshold_std,runtime_std,max_f1_recall_std,avg_memory_std,max_f1_score_std,time_per_instance_std,memory_usage_std,roc_auc_std,score_std,pr_auc_std,max_f1_precision_std,lr_std
AE,covertype,0.1,2.8848122528,19.50139251,0.58892988928,52.48364,0.65008359318,0.00036214704514,52.547,0.97018052068,0.9651054082,0.64526277078,0.73369943974,0.02,0.086241652835348,0.61123530945919,0.0779768623613938,0,0.0536228148342548,1.70766765224068e-05,0,0.0094653739729411,0.0045281840574185,0.0679681846901535,0.0577037040860144,0
AE,covertype,0.2,3.1012116106,18.999396466,0.66051660516,52.48364,0.6712434899,0.00037644882202,52.547,0.98128895084,0.96595812096,0.67692824266,0.69532236656,0.02,0.119312391016943,0.140517948812941,0.159527426708609,0,0.221933377705816,3.14577572164881e-05,0,0.0207072404429873,0.0165757162108228,0.278136845294776,0.269637285216561,0
AE,covertype,0.3,3.511599234,19.2420362,0.6380073801,52.48364,0.6877582595,0.00038887023926,52.547,0.98525349102,0.95402148346,0.70622564426,0.7526711526,0.02,0.134417351418761,0.42184007917471,0.106839154418959,0,0.0869788426474162,2.53115297965193e-05,0,0.0124657003993518,0.0080071583410983,0.0996059185791701,0.078897079045434,0
AE,covertype,0.4,3.511599234,19.222427464,0.6380073801,52.48364,0.6877582595,0.00037468261718,52.547,0.98525349102,0.95402148346,0.70622564426,0.7526711526,0.02,0.134417351418761,0.25495507465412,0.106839154418959,0,0.0869788426474162,3.17404068923287e-05,0,0.0124657003993518,0.0080071583410983,0.0996059185791701,0.078897079045434,0
AE,covertype,0.5,3.6192002536,19.244191024,0.66494464944,52.48364,0.66451689076,0.0003771844387,52.547,0.98372946504,0.94746270416,0.66210885118,0.66820815944,0.02,0.191739071015148,0.150627655004092,0.13218369402416,0,0.161910308769669,2.61150384808547e-05,0,0.0085108779556311,0.0116012756020656,0.195991004023992,0.190012560192169,0
AE,covertype,0.6,3.5980263814,23.760722302,0.78560885608,52.48364,0.78291754504,0.0004861945629,52.547,0.99262413418,0.95120225184,0.80014305748,0.7814249936,0.02,0.292763987088005,4.30412777714756,0.0475678533306272,0,0.0451625481637374,9.47796323595802e-05,0,0.0019239803388797,0.0038393910635707,0.0409125215113606,0.0544664555118993,0
AE,covertype,0.7,3.621270576,27.98834882,0.58782287822,52.48364,0.6245058833,0.00049402656554,52.547,0.98159086566,0.94664644926,0.63903341448,0.67061605476,0.02,0.321514064349448,0.887449676255494,0.11629911023924,0,0.100539578536547,0.0001197685391521,0,0.0084786000797996,0.0055244172928269,0.119242790186502,0.0874616289061404,0
AE,covertype,0.8,3.621270576,30.250525618,0.58782287822,52.48364,0.6245058833,0.00066559319494,52.547,0.98159086566,0.94664644926,0.63903341448,0.67061605476,0.02,0.321514064349448,1.95737667302966,0.11629911023924,0,0.100539578536547,0.0001609058064111,0,0.0084786000797996,0.0055244172928269,0.119242790186502,0.0874616289061404,0
AE,covertype,0.9,3.5852756998,30.104992436,0.61660516606,52.48364,0.65219227156,0.00052230434418,52.547,0.9854379929,0.94823695012,0.67805270052,0.69549289952,0.02,0.198181362274332,1.22389559107974,0.0623960035131814,0,0.0654411494574909,3.4594770850083e-05,0,0.0071364904542068,0.0046259819192305,0.0780346684117294,0.0845518319324541,0
AE,covertype,1.0,3.7248693014,29.687343504,0.72767527676,52.45564,0.72172301702,0.0006023118019,52.519,0.99135525778,0.94701954118,0.75444110098,0.71880241956,0.02,0.28561497877998,0.886286218644641,0.0540215604994421,0,0.0191489268057747,7.89370113325727e-05,0,0.002618098743891,0.0051218069366615,0.0182044357335304,0.0237111404068693,0
AE,covertype,1.1,3.820921438,30.384770536,0.7033210332,52.48364,0.74237360462,0.00063619909288,52.547,0.99337457898,0.94682491112,0.79581552334,0.7904722661,0.02,0.163317866674259,0.932900968124502,0.118400743752418,0,0.0906340312753991,8.966398619743e-05,0,0.002149300512918,0.0052285090168505,0.0874042423548327,0.0556497784913929,0
AE,covertype,1.2,3.7623606458,29.58243246,0.70479704798,52.48364,0.7231536087,0.00065892210008,52.547,0.99193873396,0.9442837312,0.75672001852,0.74424754908,0.02,0.21442874545429,1.20862218067809,0.0623359627654943,0,0.0588913265904143,0.0001404330163768,0,0.0043049177357646,0.0046237411148671,0.0890735844442139,0.0664284515505753,0
