optimizer_fn,dataset,model,lr,PR-AUC,ROC-AUC,Max F1,Max F1 Precision,Max F1 Recall,runtime,subsample,seed,PR-AUC_std,ROC-AUC_std,Max F1_std,Max F1 Precision_std,Max F1 Recall_std,runtime_std,subsample_std,seed_std
adam,covertype,AE,0.001,0.4854015517820992,0.9681479227445434,0.5083683649161789,0.5409388907026969,0.4854243542435424,24.097387194633484,50000.0,46.5,0.08727482712934297,0.008026818570244827,0.054354373617420265,0.08962452873739836,0.04479381577872096,0.2308083822914351,0.0,3.0276503540974917
adam,covertype,AE,0.0020000000000000005,0.27834968877288707,0.950831190921396,0.35417207893757535,0.3169655915267381,0.40719557195571954,24.257618641853334,50000.0,46.5,0.054149764845595694,0.008083351501900257,0.03409378945418214,0.04851527062609569,0.03657141194607733,0.28703839613110044,0.0,3.0276503540974917
adam,covertype,AE,0.004000000000000001,0.17799415723628328,0.9311698330194511,0.2805021722586501,0.2224396548724387,0.3900369003690037,24.151264476776124,50000.0,46.5,0.019027604426068517,0.005819677093049356,0.017357167295852582,0.02677007461694187,0.04632756052980416,0.2644326976956728,0.0,3.0276503540974917
adam,covertype,AE,0.008000000000000004,0.17521395340786228,0.9191094788540994,0.27678203698106757,0.23604297785267803,0.3380073800738007,24.158764672279357,50000.0,46.5,0.01788836199786511,0.0055888331759176586,0.013157495292455081,0.019132334109505527,0.02854052646941829,0.17179040070815416,0.0,3.0276503540974917
adam,covertype,AE,0.016,0.22273935977511114,0.9003291062572156,0.30706034994049936,0.2800245766403132,0.34428044280442804,24.223379778862,50000.0,46.5,0.01754282924934579,0.008689810647271999,0.017315618474777392,0.030988866091180428,0.02578922530081747,0.2503374997072307,0.0,3.0276503540974917
adam,covertype,AE,0.03200000000000001,0.1447027546809943,0.8664906964185498,0.23199898544200562,0.20522040117735701,0.27693726937269375,24.216890597343443,50000.0,46.5,0.005993987244065652,0.007842013794447406,0.011516800797307237,0.02894832001939649,0.041625059222034015,0.24096503325207666,0.0,3.0276503540974917
adam,covertype,AE,0.06399999999999999,0.13368074776864752,0.8105198282966695,0.26579615612389407,0.20358309458934715,0.39667896678966785,25.226326155662537,50000.0,46.5,0.08275728128487586,0.08699590252042512,0.10656690777620617,0.08869470858324859,0.15814868500126789,2.339400147250519,0.0,3.0276503540974917
adam,covertype,AE,0.128,0.29396496050820525,0.8659165053982216,0.41208060354506204,0.4263400909563103,0.40516605166051656,24.415041351318358,50000.0,46.5,0.16694889007457972,0.13684921546552462,0.125527131670568,0.15000994987685382,0.11115527989569106,0.19526611477275588,0.0,3.0276503540974917
adam,covertype,AE,0.256,0.3551077362123743,0.8977118010898659,0.4245693138876973,0.5217616609521657,0.36180811808118085,24.8063845872879,50000.0,46.5,0.16011167262498152,0.1287056980248689,0.16112156067953062,0.17704779043990082,0.15086954524561108,0.6308193662228929,0.0,3.0276503540974917
adam,covertype,DAE,0.001,0.7493508052980169,0.9945476679381619,0.7063547627451394,0.7002680347261632,0.714760147601476,35.64288766384125,50000.0,46.5,0.027805667260241244,0.0008343918513300734,0.02838213548703237,0.04819715503097973,0.030294281552433633,2.8356738851363885,0.0,3.0276503540974917
